No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
759,Everland Agri Corporation,Extra 4-0-48 Foliar,Inorganic Fertilizer,"N=4%, K2O=48%",All Crops,1-1LF-0983-TPA,"August 02, 2027"
760,Everland Agri Corporation,Extra 15-15-30 Foliar,Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%",All Crops,1-1LF-0984-TPA,"August 02, 2027"
761,Everland Agri Corporation,Extra 30-10-10 Foliar,Inorganic Fertilizer,"N=30%, P2O5=10%, K2O=10%",All Crops,1-1LF-0985-TPA,"August 02, 2027"
762,Everland Agri Corporation,Extra 20-5-30 Foliar,Inorganic Fertilizer,"N=20%, P2O5=5%, K2O=30%",All Crops,1-1LF-0986-TPA,"August 02, 2027"
763,Everland Agri Corporation,Extra 20-20-20 Foliar,Inorganic Fertilizer,"N=20%, P2O5=20%, K2O=20%",All Crops,1-1LF-0987-TPA,"August 02, 2027"
764,Everland Agri Corporation,Agro Planters 16-16-8,Inorganic Fertilizer,"N=16%, P2O5=16%, K2O=8%",All Crops,1-1IF-9393,"February 21, 2027"
765,Everland Agri Corporation,Agro Planters 14-14-14 Complete Fertilizer,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9388,"February 16, 2027"
766,Everland Agri Corporation,Agro Planters Rock Phosphate,Soil Conditioner,P2O5=30%,All Crops,1-4IF-1326,"May 24, 2028"
767,Everland Agri Corporation,Agro Planter's Mono Ammonium Phosphate (MAP),Inorganic Fertilizer,"N=10%, P2O5=50%",All Crops,1-1IF-8678,"April 22, 2028"
768,Ezertech Corporation,Guano Pure (0-22-0 Phosphate Fertilizer),Inorganic Fertilizer,"P2O5=22%, K2O=0.1%, S=0.1%, CaO=28%, Cu=0.041%, Mg=0.30%, Mn=0.5%, Na=0.01%",All Crops,1-1IF-7892,"February 21, 2026"
769,Ezertech Corporation,Dinero 18-46-0 DI-Ammonium Phosphate,Inorganic Fertilizer,"N=18%,  P2O5=46%",All Crops,1-1IF-9144,"July 07, 2026"
770,Ezertech Corporation,Dinero 25-0-0 Ammonium Chloride,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9145,"July 12, 2026"
771,Ezertech Corporation,Dinero 10-50-0 Monoammonium Phosphate,Inorganic Fertilizer,"N=10%, P2O5=50%",All Crops,1-1IF-9146,"July 21, 2026"
772,Ezertech Corporation,DINERO COMPLETE 14-14-14,Inorganic Fertilizer,"N= 14%, P2O5= 14%, K2O= 14%",All Crops,1-1IF-9168,"July 28, 2026"
773,Ezertech Corporation,Dinero Complete 14-14-14,Inorganic Fertilizer,"N= 14%, P2O5= 14%, K2O= 14%",All Crops,1-1IF-9176,"July 31, 2026"
774,Ezertech Corporation,Cocoly Vidal 15-2-5,Inorganic Fertilizer,"N=15%, P2O5=2%,  K2O=5%, S= 18%, Mg= 0.4%",All Crops,1-1IF-8007,"August 25, 2026"
775,Ezertech Corporation,Nutri Black 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N= 16%, P2O5= 20%",All Crops,1-1IF-9167,"July 28, 2026"
776,Ezertech Corporation,Nutri Black 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N= 16%, P2O5= 20%",All Crops,1-1IF-9143,"July 07, 2026"
777,Ezertech Corporation,Guano Pure (0-18-0 Phosphate Fertilizer),Inorganic Fertilizer,P2O5=18%,All Crops,1-1IF-9367,"January 31, 2027"
778,Ezertech Corporation,Dinero Zinc Sulphate Heptahydrate 21.5%,Inorganic Fertilizer,"Zn=21.5% w/w, S=11% w/w",All Crops,1-1IF-8096,"October 29, 2026"
779,Ezertech Corporation,Alpha Grow 11-7-6 NPK,Inorganic Fertilizer,"N=11%, P2O5=7%, K2O=6%, Fe= 0.01%, Cu= 0.007%, Mn=0.01%, Mo= 0.001%, B= 0.1%, Zn=0.005%",All Crops,1-1IF-7891,"February 21, 2026"
780,Ezertech Corporation,Dinero Zinc Sulphate Heptahydrate 21%,Inorganic Fertilizer,"S=10%,  Zn=21%",All Crops,1-1IF-9522,"July 17, 2027"
781,Ezertech Corporation,Dinero Mono Potassium Phosphate,Inorganic Fertilizer,"P2O5=51.5%, K2O=34%",All Crops,1-1IF-9752,"April 29, 2028"
782,Ezertech Corporation,Rezet 250 SC,Plant Growth Regulator,Paclobutrazol=25% w/v,Mango,1-5IF-1148,"June 27, 2028"
783,Ezertech Corporation,BRAZZO 0.004% SL,Plant Growth Regulator,Brassinolide=0.004% w/v,All Crops,1-5IF-1194,"July 18, 2028"
784,Ezertech Corporation,Guano Pure (0-20-0 Phosphate),Inorganic Fertilizer,P2O5=20%,All Crops,1-1IF-9317,"November 17, 2026"
785,Ezertech Corporation,Guano Pure (0-22-0 Phosphate),Inorganic Fertilizer,P2O5=22%,All Crops,1-1IF-9318,"November 17, 2026"
786,Ezertech Corporation,Alpha Grow 11-7-6 NPK Foliar,Inorganic Fertilizer,"N=11%, P2O5=7%, K2O=6%, Fe=0.01%, Zn=0.005%",All Crops,1-1IF-8177,"February 04, 2027"
787,Fabrecorp Industries Incorporated,SG7,Soil Conditioner,"Fe=5.1 ppm, Mn=0.47 ppm, Zn= 1.0 ppm, O.M. = 13%","Leafy and Fruiting Vegetables, Rice",1-4LF-1337,"April 17, 2026"
788,Farm Mechanism Resources and Distribution Corporation,NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9149,"July 21, 2026"
789,Farm Mechanism Resources and Distribution Corporation,Urea 46-0-0 Granular,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9150,"July 21, 2026"
790,Farm Mechanism Resources and Distribution Corporation,Ammonium Sulfate 21-0-0,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-9151,"July 21, 2026"
791,Farm Mechanism Resources and Distribution Corporation,Ammonium Phosphate 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9152,"July 21, 2026"
792,Farm-Aid Enterprises,Farm-Aid Calcium Boron,Inorganic Foliar Fertilizer,"Ca=15%, B=0.10%",All Crops,1-1LF-8858,"October 05, 2025"
793,Farm-Aid Enterprises,Ani Foliar,Inorganic Foliar Fertilizer,"N=8%, P2O5=8%, K2O=10%",All Crops,1-1LF-8859,"October 06, 2025"
794,Farm-Aid Enterprises,Farm-Aid Humus,Soil Conditioner,Total Potassium Humate and Fulvate= 85%,All Crops,1-4IF-0611-TPA,"March 20, 2026"
795,Farm-Aid Enterprises,Farm-Aid 3000 Liquid,Inorganic Fertilizer,"N=10.56%, P2O5=2.95%, K2O=1.90%, Mn=30.42ppm, Zn=12.38 ppm, Mg=0.04%, Ca=0.10%, B=0.023%, S=1.39%",All Crops,1-1LF-4254,"June 29, 2027"
796,Farmers-Hub Agricultural Products Wholesaling,Farmers Hub Triboost,Biofertilizer,"Humic acid=21.9%, Azospirillum=1.0x108 cfu/g, Bacillus subtilis= 1.2x108 cfu/g, Bacillus megaterium= 1.0-1.5x108 cfu/g",All Crops,1-7IF-0103,"January 23, 2028"
797,Farmpoint Corp.,Gibberellin,Plant Growth Regulator,Gibberellic acid=10%,Pineapple and Banana,1-5IF-0683-TPA,"December 09, 2025"
798,Farmpoint Corp.,Saeta,Inorganic Fertilizer,"CaO=41%, P2O5=40%",All Crops,1-1IF-0823-TPA,"March 04, 2027"
799,Farmpoint Corp.,Anone CPA,Inorganic Fertilizer,K2O=8%,All Crops,1-1IF-0587-TPA,"January 12, 2028"
800,Farmtech Agriland Corporation,Farmtech Starterboost,Inorganic Fertilizer,"N=10%, P2O5=45%, S=4%, Zn=1%",All Crops,1-1IF-8977,"February 07, 2026"
801,Farmtech Agriland Corporation,Allganic Nitrogen Plus,Inorganic Fertilizer,"N=15%, K2O=2%",All Crops,1-1IF-7131,"April 27, 2026"
802,Farmtech Agriland Corporation,Plantacote Supra K,Controlled Release Fertilizer,"N=15%, P2O5=7%, K2O=23%, MgO=2%",All Crops,1-3IF-7416,"October 15, 2027"
803,Farmtech Agriland Corporation,Plantacote Pluss,Controlled Release Fertilizer,"N=14%, P2O5=9%, K2O=15%, MgO=2%, B=0.030%, Cu=0.015%, Fe=0.4%, Mn=0.1%, Mo=0.02%, Zn=0.05%",All Crops,1-3IF-7417,"October 15, 2027"
804,Farmtech Agriland Corporation,Lono K,Inorganic Fertilizer,"N=16%,  K2O=7%",All Crops,1-1IF-7255,"July 09, 2027"
805,Farmtech Agriland Corporation,Plantacote Supra N,Controlled Release Fertilizer,"N=18%, P2O5=8%, K2O=9%, MgO=2%",All Crops,1-1IF-5066,"November 20, 2027"
806,Farmtech Agriland Corporation,Damu,Inorganic Fertilizer,"B=5.6%, Mo=0.35ppm",All Crops,1-1IF-7266,"July 25, 2027"
807,Farmtech Agriland Corporation,Lono Plus,Inorganic Fertilizer,"N=14%, Ca=8%",All Crops,1-1IF-7256,07/09/2027
808,Farmtech Agriland Corporation,Albina,Inorganic Fertilizer,"N=9%, Ca=9%",All Crops,1-1IF-7164,"May 23, 2027"
809,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-1974,"December 12, 2025"
810,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Phosphate 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-4374,"December 08, 2025"
811,Ferex Agrochem Development Corporation,Marca Bulaklak Granular Ammonium Chloride,Inorganic Fertilizer,N=25%,All Crops,1-1IF-4505,"November 16, 2025"
812,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-4633,"February 16, 2026"
813,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8835,"August 26, 2025"
814,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8841,"September 05, 2025"
815,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8865,"October 06, 2025"
816,Ferex Agrochem Development Corporation,Marca Bulaklak NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8899,"November 14, 2025"
817,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Phosphate 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%, S= 12%",All Crops,1-1IF-8902,"November 16, 2025"
818,Ferex Agrochem Development Corporation,Marca Bulaklak MOP 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-8934,"December 28, 2025"
819,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8947,"January 20, 2026"
820,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-8948,"January 20, 2026"
821,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-7935,"May 12, 2026"
822,Ferex Agrochem Development Corporation,Marca Bulaklak 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-7995,"August 12, 2026"
823,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S= 24%",All Crops,1-1IF-7996,"August 12, 2026"
824,Ferex Agrochem Development Corporation,Marca Bulaklak 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-4555,"January 03, 2026"
825,Ferex Agrochem Development Corporation,Marca Bulaklak 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-4681,"March 16, 2026"
826,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N= 21%, P2O5= 0%, K2O= 0%, S= 24%",All Crops,1-1IF-4867,"July 10, 2026"
827,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N= 21%,  S= 24%",All Crops,1-1IF-5033,"October 06, 2026"
828,Ferex Agrochem Development Corporation,Marca Bulaklak 16-16-8+9S,Inorganic Fertilizer,"N=16%, P2O5=16%,  K2O=8%, S=9%",All Crops,1-1LF-0759-TPA,"July 28, 2026"
829,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulphate 21-0-0+24S,Inorganic Fertilizer,"N= 21%, S= 24%",All Crops,1-1IF-9311,"November 14, 2026"
830,Ferex Agrochem Development Corporation,Marca Bulaklak NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5= 20%",All Crops,1-1IF-9312,"November 14, 2026"
831,Ferex Agrochem Development Corporation,Marca Bulaklak Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O= 60%,All Crops,1-1IF-9305,"November 09, 2026"
832,Ferex Agrochem Development Corporation,Marca Bulaklak Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O= 60%,All Crops,1-1IF-9306,"November 09, 2026"
833,Ferex Agrochem Development Corporation,Marca Bulaklak Complete NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-7412,"December 12, 2027"
834,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8485,"October 11, 2027"
835,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8540,"November 24, 2027"
836,Ferex Agrochem Development Corporation,Marca Bulaklak Complete NPK  14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8484,"October 11, 2027"
837,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8536,"November 24, 2027"
838,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride (25-0-0),Inorganic Fertilizer,N=25%,All Crops,1-1IF-7413,"December 13, 2027"
839,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride (25-0-0),Inorganic Fertilizer,N=25%,All Crops,1-1IF-9568,"September 25, 2027"
840,Ferex Agrochem Development Corporation,Marca Bulaklak Complete NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9578,"October 07, 2027"
841,Ferex Agrochem Development Corporation,Marca Bulaklak Complete NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9587,"October 31, 2027"
842,Ferex Agrochem Development Corporation,Marca Bulaklak NPK 16-16-8+8S,Inorganic Fertilizer,"N=16%, P2O5=16%, K2O=8%, S=8%",All Crops,1-1IF-9637,"December 02, 2027"
843,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9678,"January 16, 2028"
844,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulphate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-8605,"January 27, 2028"
845,Ferex Agrochem Development Corporation,Marca Bulaklak Complete NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9700,"March 14, 2028"
846,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9721,"March 31, 2028"
847,Ferex Agrochem Development Corporation,Marca Bulaklak Complete NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8670,"April 11, 2028"
848,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Phosphate 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9746,"April 28, 2028"
849,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-7560,"May 28, 2028"
850,Ferex Agrochem Development Corporation,Marca Bulaklak NK 17-0-17,Inorganic Fertilizer,"N=17%, K2O=17%",All Crops,1-1IF-9775,"May 21, 2028"
851,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9789,"July 13, 2028"
852,Ferex Agrochem Development Corporation,Marca Bulaklak NK 17-0-17,Inorganic Fertilizer,"N=17%, K2O=17%",All Crops,1-1IF-8551,"November 26, 2027"
853,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulphate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-9668,"December 23, 2027"
854,Ferex Agrochem Development Corporation,Sakura Hiryou Ammonium Sulfate,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-5037,"October 06, 2026"
855,Ferex Agrochem Development Corporation,Marca Bulaklak NK 17-0-17,Inorganic Fertilizer,"N=17%, K2O=17%",All Crops,1-1IF-9806,"June 26, 2028"
856,Ferex Agrochem Development Corporation,Marca Bulaklak Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9423,"April 02, 2027"
857,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-9424,"April 03, 2027"
858,Ferex Agrochem Development Corporation,Marca Bulaklak Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-7035,"February 19, 2027"
859,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-8291,"June 03, 2027"
860,Ferex Agrochem Development Corporation,Marca Bulaklak NK 17-0-17,Inorganic Fertilizer,"N=17%, K2O=17%",All Crops,1-1IF-9468,"May 22, 2027"
861,Ferex Agrochem Development Corporation,Marca Bulaklak Ammonium Sulfate 21-0-0+24S,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-7260,"July 11, 2027"
862,Fertizo Agri Labs Incorporated,Fertizo Lime,Soil Conditioner,"CaO=50.59% w/w, Neutralizing Value= 39.75%",All Crops,1-4LF-1374,"April 07, 2028"
863,FG P.O.W.E.R Agri Ventures Inc.,Power Advance Liquid Fertilizer,Inorganic Fertilizer,"N= 4.90%, P2O5= 5%, K2O= 2%",All Crops,1-1LF-9324,"December 01, 2026"
864,FG P.O.W.E.R Agri Ventures Inc.,Power,Fortified Organic Fertilizer,"N= 4.50%, P2O5= 4.50%, K2O= 3.10%",All Crops,1-2LF-2864,"December 01, 2026"
865,"FGH Agricultura, Inc.",AG Nutragel Plant,Biostimulant,"Total Solids=5.7%, Organic Matter=3.5%, K2O=1.0%",Rice,1-7IF-114,"May 26, 2028"
866,FMA Agritech Integrated Farm,Hydropomin Solution A,Inorganic Fertilizer,"N=1.19%, P2O5=1.24%, K2O=2.73%, S=1%, Mg=0.57%","Lettuce, Herbs & Strawberry",1-1LF-9551,"August 27, 2027"
867,FMA Agritech Integrated Farm,Hydropomin Solution B,Inorganic Fertilizer,"N=1.9%, Ca=2.57%","Lettuce, Herbs & Strawberry",1-1LF-9552,"August 27, 2027"
868,"FMC Agro Philippines, Inc.",Furagro Plant,Biostimulant,"K2O=6.3%, Organic Matter=7%, Seaweed Extract (as Total Solids)=21%",Rice and Fruiting and Leafy Vegetables,1-7IF-0034,"February 09, 2028"
869,"FMC Agro Philippines, Inc.",Vytegris Zinc,Inorganic Fertilizer,"N=1.75% w/v, Zn=70% w/v",All Crops,1-1IF-9115,"June 22, 2026"
870,"FMC Agro Philippines, Inc.",Katalyst FS,Inorganic Fertilizer,K2O= 29-31%,All Crops,1-1IF-4704,"March 24, 2027"
871,"FMC Agro Philippines, Inc.",Attract,Soil Conditioner,Actagro Organic Acid=22%,Rice,1-4IF-1358,"November 29, 2026"
872,Foliar Chemical Products Trading,Asiagrow Foliar,Inorganic Foliar Fertilizer,"N=4.28%, P2O5=2.61%, K2O=4.40%",All Crops,1-1LF-9111,"June 15, 2026"
873,Fullmight Agricultural Corp.,Nutrio,Biofertilizer,Enterobacter sacchari=1 x 10?cfu/mL,"Sugarcane, Rice, Corn, Pechay",1-7LF-0043,"December 04, 2025"
874,GameChanger Agriculture Corporation,Completo+ Smart Release,Inorganic Fertilizer,"N= 18.9% w/v, P2O5=9.2% w/v, K2O=19.2% w/v, B= 200mg/L, Zn= 630 mg/L, Cu= 630 mg/L, Fe= 1300 mg/L, Mn=700mg/L",All Crops,1-1IF-8618,"October 23, 2026"
875,GameChanger Agriculture Corporation,Nitroboost Smart Release,Inorganic Fertilizer,"N= 30.75% w/v, Zn=0.307% w/v, B= 0.307% w/v",All Crops,1-1IF-8617,"October 23, 2026"
876,GameChanger Agriculture Corporation,Seedling BOOSTER,Inorganic Fertilizer,"N=2% w/v, P2O5=4% w/v, K2O=6.7% w/v, Zn=0.2% w/v, B=0.05% w/v",All Crops,1-1IF-9549,"September 10, 2027"
877,GameChanger Agriculture Corporation,SugarBlaster Foliar,Inorganic Fertilizer,"K2O=432 g/L or 43.2% w/v, Thiosulfate Sulfur (S)=97 g/L or 9.7 w/v",Fruiting and Leafy Vegetables,1-1IP-9738,"May 21, 2026"
878,Gania Agri-Business Corporation,Decco Screen,Inorganic Fertilizer,CaCO3=60%,"Mango, Pineapple, Banana",1-1LF-7626,"July 08, 2026"
879,Garsoni Agricare Philippines Corporation,Dewol 14-14-14,Inorganic Fertilizer,"N=14% w/w, P2O5=14% w/w,  K2O=14% w/w",All Crops,1-1IF-9260,"October 09, 2026"
880,Garsoni Agricare Philippines Corporation,Dewol 14-14-14,Inorganic Fertilizer,"N=14% w/w, P2O5=14% w/w,  K2O=14% w/w",All Crops,1-1IF-9261,"October 09, 2026"
881,Garsoni Agricare Philippines Corporation,Soupro 12-12-17,Inorganic Fertilizer,"N=12% w/w, P2O5=12% w/w,  K2O=17% w/w",All Crops,1-1IF-9262,"October 09, 2026"
882,Garsoni Agricare Philippines Corporation,Dewol 10-45-0,Inorganic Fertilizer,"N= 10% w/w, P2O5=45% w/w",All Crops,1-1IF-9263,"October 09, 2026"
883,Garsoni Agricare Philippines Corporation,Dewol 21-0-0-24S,Inorganic Fertilizer,"N= 21% w/w, S= 24% w/w",All Crops,1-1IF-9264,"October 03, 2026"
884,Garsoni Agricare Philippines Corporation,Dewol 16-20-0,Inorganic Fertilizer,"N= 16% w/w, P2O5= 20% w/w",All Crops,1-1IF-9265,"October 09, 2026"
885,Garsoni Agricare Philippines Corporation,Soupro 25-0-0,Inorganic Fertilizer,N= 25% w/w,All Crops,1-1IF-9266,"October 09, 2026"
886,Garsoni Agricare Philippines Corporation,Soupro Calcium Nitrate,Inorganic Fertilizer,"N= 15% w/w, CaO= 25.5% w/w",All Crops,1-1IF-9352,"January 17, 2027"
887,Garsoni Agricare Philippines Corporation,Soupro 16-16-16,Inorganic Fertilizer,"N= 16%, P2O5= 16%, K2O= 16%",All Crops,1-1IF-9353,"January 17, 2027"
888,Garsoni Agricare Philippines Corporation,Soupro 15-5-25,Inorganic Fertilizer,"N=15%, P2O5=5%, K2O=25%",All Crops,1-1IF-9406,"February 28, 2027"
889,Garsoni Agricare Philippines Corporation,Soupro 8-40-0,Inorganic Fertilizer,"N=8%, P2O5=40%",All Crops,1-1IF-9621,"November 18, 2027"
890,Garsoni Agricare Philippines Corporation,Soupro 10-18-24,Inorganic Fertilizer,"N=10%, P2O5=18%, K2O=24%",Tobacco,1-1IF-9688,"February 04, 2028"
891,Gemini Agri Farm Solutions Corp.,Herofol Denso Amino-K,Inorganic Fertilizer,"N=1.932% w/v, K2O=42.23% w/v, Cu= 0.138%, Fe= 0.0276%, Mn= 0.0276% w/v, Zn= 0.0069% w/v, B= 0.0138% w/v, Mo= 0.0014% w/v, Amino Acid= 3.50% w/v",All Crops,1-1IF-7962,"July 13, 2026"
892,Gemini Agri Farm Solutions Corp.,Ultimate-N,Inorganic Fertilizer,N= 34.44% w/v,All Crops,1-1IF-7961,"July 13, 2026"
893,Gemini Agri Farm Solutions Corp.,Yama N,Biofertilizer,Azospirillum =1x108 cfu/g,All Crops,1-7LF-0789-TPA,"November 10, 2026"
894,Gemini Agri Farm Solutions Corp.,Gemini Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9419,"March 26, 2027"
895,Gemini Agri Farm Solutions Corp.,Herogra Heromar,Biostimulant,"K2O=3.4%, Alginic Acid=2.83%, Mannitol=1.17%",Rice,1-7IP-0099,"December 16, 2025"
896,Gemini Agri Farm Solutions Corp.,Herogra Aminofulvat,Soil Conditioner,"N=2.20%,  K2O=5%, B=0.02%, Fe=0.07%, Mn=0.01%, Total Amino Acid=7%, Organic Matter=40%, Humic Extract=28%, Fulvic Acid=28%, Organic Carbon=24%, Betaine=5%",Rice,1-4IP-1371,"March 10, 2026"
897,Gemini Agri Farm Solutions Corp.,Herofol Denso Equilibrado,Inorganic Foliar Fertilizer,"N=18%, P2O5=17%, K2O=18%, B=0.01%, Cu=0.01%, Fe= 0.03%, Zn=0.01%, Mn= 0.03%, Mo=0.001%",All Crops,1-1IF-7769,"November 04, 2025"
898,Gemini Agri Farm Solutions Corp.,Herofol Denso Ca-Mg,Inorganic Fertilizer,"N=15%, CaO=22.50%, MgO=3%, , B=0.03%, Cu=0.03%, Fe=0.05%, Mn=0.03%, Mo=0.002%, Zn=0.02% (w/v)",All Crops,1-1IF-7767,"November 04, 2025"
899,Gemini Agri Farm Solutions Corp.,Zinc Sulphate Heptahydrate,Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-8952,"January 26, 2026"
900,Gemini Agri Farm Solutions Corp.,Herofol Denso Green,Inorganic Foliar Fertilizer,"W/W N=20%, P2O5=8%, K2O=10%, B=0.02%, Cu=0.02%, Fe= 0.03%, Zn=0.01%, Mn= 0.02%, Mo=0.001%",All Crops,1-1IF-7768,"November 04, 2025"
